Name,Field_API_Name__c,Test_Config__c,Field_Description__c,Field_Value__c,Picklist_Order__c,Value_Category__c
Opposite_Sex_P3_poor_reaction,Opposite_Sex_P3__c,Opposite_Sex_3,Helper dog was afraid or avoidant. [Re-evaluate with another helper dog],Elicited poor reaction from helper dog,10,2
Opposite_Sex_P3_Pushy_not_Relax,Opposite_Sex_P3__c,Opposite_Sex_3,"Confident stiff, assertive posture (tail up, ears forward, may have had hackles up). In close proximity, stayed tense but didn't growl, showed teeth or tried to bite.",Pushy-does not relax,8,2
Opposite_Sex_P3_Charges_Aggressive,Opposite_Sex_P3__c,Opposite_Sex_3,"Rushed toward dog and then growled, showed teeth, Snapped, snarled, bit, bit and holds and/or bit and shook,",Charges-aggressive,13,3
Opposite_Sex_P3_NeutralAggressive,Opposite_Sex_P3__c,Opposite_Sex_3,"Neutral or fearful body language at first then growled, showed teeth, snapped, snarled or bit.","Neutral, nervous/fearful or friendly-then aggressive",12,3
Opposite_Sex_P3_Predatory_Aggressive,Opposite_Sex_P3__c,Opposite_Sex_3,"Showed eye or eye-stalk behavior (rigid body, hard direct stare, lowered body slow movements). Approached and then bit, held and/or shook May have been completely silent or whined/screamed excitedly before approaching.",Predatory-aggressive,14,3
Opposite_Sex_P3_Pushy_aggresive,Opposite_Sex_P3__c,Opposite_Sex_3,"Confident, stiff, assertive posture (tail up, ears forward, may have had hackles up). May have jumped on dog, chin or stood over or mounted. When in close proximity, showed teeth, growled, snarled or bit. May have attacked in response to ""rude"" behavior.",Pushy-aggressive,11,3
Opposite_Sex_Fear,Opposite_Sex_P3__c,Opposite_Sex_3,Was too anxious to pay attention to helper dog. (Re-evaluate],Fearful,15,4
Opposite_Sex_P3_Distracted_by_muzzle,Opposite_Sex_P3__c,Opposite_Sex_3,Too distracted to exhibit natural behavior. [Re-evaluate],Distracted by muzzle,16,4
Opposite_Sex_P3_No_Interest,Opposite_Sex_P3__c,Opposite_Sex_3,No reaction to helper dog. Not fearful. [Re-evaluate],No interest,17,4
Opposite_Sex_P3_Very_Intense_Aroused,Opposite_Sex_P3__c,Opposite_Sex_3,"Pushy, inappropriate, rambunctious and rude (whined, pawed, barked, did chin over, body slammed or climbed on helper dog). Excited but not aggressive.",Very intense/aroused,9,2
PlayTestP1_Curious_but_not_playful,Play_Test_Tug_P1__c,Play_Test_1,Investigated or watched toy.,Curious but not playful,2,1
PlayTestP1_Playtoy_andOr_test,Play_Test_Tug_P1__c,Play_Test_1,"Exhibited bouncy movements, play face and/or relaxed body. Grabbed toy. chased toy. play bows, etc.",Played with toy and/or tester,1,1
PlayTestP1_Sought_interaction_with_tes,Play_Test_Tug_P1__c,Play_Test_1,Ignored toy and solicited contact with tester.,Sought interaction with tester,3,1
PlayTestP1_Unresponsive,Play_Test_Tug_P1__c,Play_Test_1,"during the game. Distracted by environment, appeared uncertain, confused or mildly fearful.",Unresponsive,4,1
PlayTestP1_Highly_aroused,Play_Test_Tug_P1__c,Play_Test_1,"Grabbed toy and tugged vigorously, with tail high and/or ears forward. Might have growled. Jumped up, mouthed tester.",Highly aroused,6,2
PlayTestP1_Moderately_fearful,Play_Test_Tug_P1__c,Play_Test_1,"Cowered/crouched. Trembled, tucked tail, flattened ears and/or panted. Might have moved away from tester or stayed frozen in place. Might have exhibited some social behavior.",Moderately fearful,5,2
PlayTestP1_Became_aggressive,Play_Test_Tug_P1__c,Play_Test_1,"Stiff/rigid and growled, showed teeth, snarled, attempted to bite or bit tester.",Became aggressive,8,3
PlayTestP1_Extremely_fearful,Play_Test_Tug_P1__c,Play_Test_1,May have panicked and attempted to hide or escape from room. Might have been In a catatonic state. Little to no social behavior.,Extremely fearful,7,3
PlayTestP2_Ignored_toy,Play_Test_Tug_P2__c,Play_Test_2,"Might have appeared mildly fearful, uncertain or confused.",Ignored toy,4,1
PlayTestP2_Interacted_with_tester,Play_Test_Tug_P2__c,Play_Test_2,Might have brought the toy to tester or ignored toy and solicited interaction from tester.,Interacted with tester,2,1
PlayTestP2_Investigated_toy,Play_Test_Tug_P2__c,Play_Test_2,Might have lost interest. Might have appeared mildly fearful.,Investigated toy,3,1
PlayTestP2_Moderately_fearful,Play_Test_Tug_P2__c,Play_Test_2,"Layed down, cowered, frozen. Trembled, tucked tail, flattened ears and/or panted. Might have tried to escape the area. Might have exhibited some social behavior.",Moderately fearful,6,2
PlayTestP2_Played_with_toy_alone,Play_Test_Tug_P2__c,Play_Test_2,Might have tried to shred toy.,Played with toy alone,1,1
PlayTestP2_Tried_to_keep_toy_from_test,Play_Test_Tug_P2__c,Play_Test_2,Took toy and played keep away or clamped on to it. Did not appear stiff/rigid.,Tried to keep toy from tester,5,1
PlayTestP2_Refused_to_relinquish_toys,Play_Test_Tug_P2__c,Play_Test_2,Took toy and kept away or clamped on to it when tester tried to take it back. Body rigid.,Refused to relinquish toy-stiff,7,2
PlayTestP2_Became_aggressive,Play_Test_Tug_P2__c,Play_Test_2,Attempted to bite or bite the tester.,Became aggressive,10,3
PlayTestP2_Extremely_fearful,Play_Test_Tug_P2__c,Play_Test_2,Might have panicked and attempted to hide or escape from room. Might have been In a catatonic state. Showed little to no social behavior.,Extremely fearful,8,3
PlayTestP2_Guarded_toy,Play_Test_Tug_P2__c,Play_Test_2,"Threatened. Growled, showed teeth, snapped and/or snarled.",Guarded toy,9,3
PleasantTouch_Accepted_contactrelaxed,Pleasant_Touch__c,Pleasant_Touch,Neutral body. May have been distracted by environment.,Accepted contact-relaxed,2,1
PleasantTouch_Enjoyed_contactsought_it,Pleasant_Touch__c,Pleasant_Touch,"Leaned against tester, rolled over for a belly rub, jumped up, licked, gently mouthed, etc.",Enjoyed contact-sought it out,1,1
PleasantTouch_Oriented_to_testers_hand,Pleasant_Touch__c,Pleasant_Touch,With minimal or moderate pressure. Relaxed loose body.,Oriented to tester's hand-mouthy,4,1
PleasantTouch_Tolerated_handling—not_re,Pleasant_Touch__c,Pleasant_Touch,"May have turned and looked at the tester's hand, licked lips or yawned. May have been mildly fearful or distracted by environment.",Tolerated handling—not relaxed,3,1
PleasantTouch_Moderately_fearful,Pleasant_Touch__c,Pleasant_Touch,"Immobile, tense and rigid (ears back, tail tucked, body rigid, pupils dilated, panting, sniffing ground). Might have exhibited some social behavior.",Moderately fearful,5,2
PleasantTouch_Tense,Pleasant_Touch__c,Pleasant_Touch,Whipped head around toward tester's hand such that tester was uncertain if dog would bite.,Tense,7,2
PleasantTouch_Unruly,Pleasant_Touch__c,Pleasant_Touch,"Constantly jumped around or on tester, fell to the floor and rolled upside-down, persistently mouthed tester - to the point that it was difficult to perform the test.",Unruly,6,2
PleasantTouch_Became_aggressive,Pleasant_Touch__c,Pleasant_Touch,"Growled, showed teeth, snarled, snapped, attempted to bite or bite the tester.",Became aggressive,9,3
PleasantTouch_Extremely_fearful,Pleasant_Touch__c,Pleasant_Touch,"Might have been catatonic or in a blind panic. Might have shrunk away from tester, urinated or defecated, attempted to escape or hide. Little to no social behavior.",Extremely fearful,8,3
PupBehInKennelExcited,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Wanted out, may have barked",Excited,4,1
PupBehInKennelMildlyfearful,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Timit, socialfriendly or neutral when cage door closed. Reluctant to approach or come forward when door opened, but interacted with tester.",Mildly fearful,3,1
PupBehInKennelNotsocial,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Not reactive or fearful, did not avoid",Not social,2,1
PupBehInKennelSocial,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Friendly, may have interacted with tester",Social,1,1
PupBehInKennelAggressiveincageonly,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,Growls or barks aggressively but switches to friendly behavior once door opens.,Aggressive in cage only,8,2
PupBehInKennelDidnotmoderatelyfearful,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Looks at tester with body lowcrouched and tense, tail down or tucked, ears back. May pant, lick lips, yawn, andor tremble. May exhibit some social behavior from a distance",Did not approach the tester-moderately fearful,7,2
PupBehInKennelHyperaroused,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Out of control, ramvunctious and unruly",Hyperaroused,6,2
PupBehInKennelStereotypicbehavior,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Frenetic movement, May spin or pace inside cage. May appear excited or fearful",Stereotypic behavior,5,2
PupBehInKennelAggressive,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,Attempted to bite or bites.,Aggressive,11,3
PupBehInKennelExtremelyfearful,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Might panic and attempt to hide or espcape from tester. Might be in a catanoic state: expressionless, motionles, unresponsive. No social behavior",Extremely fearful,9,3
PupBehInKennelThreatened,Puppy_Behavior_in_Kennel__c,Puppy_Behavior_in_Kennel,"Stiffrigid. May back away from tester, growl andor show teeth",Threatened,10,3
PupBehOnLeashExcited,Puppy_Behavior_on_Leash__c,Puppy_Behavior_on_Leash,"Playfully bounced, jumped up to greet the tester and/or explored excitedly. May have stopped to sniff or eliminate. May have balked when the leash tightened.",Excited,2,1
PupBehOnLeashMildlyfearful,Puppy_Behavior_on_Leash__c,Puppy_Behavior_on_Leash,"Seemed slightly anxious or timid (ears back, cautious movements, body low, tail down or tucked). May have panted, licked lips or yawned. May have balked, walked hesitantly or both.",Mildly fearful,3,1
PupBehOnLeashRelaxed,Puppy_Behavior_on_Leash__c,Puppy_Behavior_on_Leash,"Did not appear afraid or anxious. May have stopped to sniff or eliminate. May have interacted with the tester. May have walked, balked or both. Did not become very fearful when leash tightened.",Relaxed,1,1
PupBehOnLeashModeratelyfearful,Puppy_Behavior_on_Leash__c,Puppy_Behavior_on_Leash,"Repeatedly balked or pulled to return to the kennel. Body tense, tail down or tucked, ears back. May have panted, licked lips, yawned, and/or trembled. May have needed to be carried.",Moderately fearful,4,2
PupBehOnLeashPanicked,Puppy_Behavior_on_Leash__c,Puppy_Behavior_on_Leash,Rolled around on ground in response to leash pressure or attempted to flee. May have screamed.,Panicked,6,3
PupBehOnLeashShowedaggressivebehavior,Puppy_Behavior_on_Leash__c,Puppy_Behavior_on_Leash,"Snarled, lunged, snapped or attempted to bite the tester or other people. May have climbed the leash (not playful).",Showed aggressive behavior,7,3
PupBehOnLeashWalkedorbalkedextre,Puppy_Behavior_on_Leash__c,Puppy_Behavior_on_Leash,"Did not walk or crawled on ground, body tense and crouched. May have attempted to return to the kennel or hide underneath things. May have sat or lied down and refused to move. Appeared extremely fearful (ears back, tail tucked/down, trembling, eyes wide)",Walked or balked-extremely fearful,5,3
PupBehOnLeashToofearfulsubtestwa,Puppy_Behavior_on_Leash__c,Puppy_Behavior_on_Leash,Puppy was already extremely fearful. May have been catatonic/shut down or panicked.,Too fearful-subtest was not done,8,4
PuppyChildDollP1Avoidsdoll,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,Moved away and stayed away. Might have appeared mildly fearful.,Avoided doll,4,1
PuppyChildDollP1Greetedorloo,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,"Tail wagged or hung naturally, body appeared relaxed. Might have shown submissive body language. Might have approached to sniff, nudge or lick doll. Might have continued to interact with the doll or moved away.",Greeted or looked at doll-friendly,1,1
PuppyChildDollP1Mildlyfearfulbut,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,"Slightly anxious or timid (ears back, cautious movements, body low, tail down or tucked) but interacted in a friendly or neutral manner. May have been initially hesitant to approach. May have avoided after greeting.",Mildly fearful but investigated,3,1
PuppyChildDollP1Playful,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,"Engaged in play behavior (play bit, jumped up. play bowed, etc...). Body was loose, bouncy and relaxed. Behaved as though the doll was a real child.",Playful,2,1
PuppyChildDollP1Moderatelyfearful,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,"Avoidant or hid behind tester, body low/crouched and tense, tail down or tucked, ears back. May have panted, lick lips, yawn, and/or trembled. May have exhibited some social behavior from a distance.",Moderately fearful,5,2
PuppyChildDollP1Playfulhigharousal,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,"Highly rambunctious and aroused. Rushed in without hesitation and engaged in play behavior (play bit, knocked over, may have mounted, may have grabbed and tugged on doll). Difficult to get puppy off of doll.",Playful-high arousal,4,2
PuppyChildDollP1Becomesaggressiveoffe,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,"Body posture was stiff/rigid. Growled, showed teeth, snarled, snapped, attempted to bite or bit.",Became aggressive-offensive,8,3
PuppyChildDollP1Extremelyfearful,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,"May have panicked and attempted to hide or escape from the room. Might have been in a catatonic state: expressionless, motionless, unresponsive. No social behavior.",Extremely fearful,6,3
PuppyChildDollP1Threatensdefensive,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,"Barked (threatening or spook bark), growled, showed teeth and/or muzzle punched doll. Might have crouched/cowered, trembled and/or hid behind the tester.",Threatened-defensive,7,3
PuppyChildDollP1Notfooledbydoll,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,Behaved as though doll was an inanimate object. Might have treated doll like a toy. No social behavior directed toward doll.,Not fooled by doll,9,4
PuppyChildDollP1Toofearfulsubtestnot,Puppy_Child_Doll_P1__c,Puppy_Child_Doll_P1,Puppy was already extremely fearful. May have been catatonic/shut down or panicked. Tester opted to skip the subtest.,Too fearful-subtest not done,10,4
PuppyChildDollP2Relaxedinteractedwdoll,Puppy_Child_Doll_P2__c,Puppy_Child_Doll_P2,"Sniffed, licked or looked at the doll and did not seem at all nervous, Might have wagged or pawed at doll. ",Relaxed-interacted with the doll,1,1
PuppyChildDollP2Ignoreddoll,Puppy_Child_Doll_P2__c,Puppy_Child_Doll_P2,Not fearful. Might have interacted with the tester or sniffed ground/looked around the room. Acted as if the doll was a real child during the previous test. ,Ignored doll,2,1
PuppyChildDollP2Didnottrytogetaway,Puppy_Child_Doll_P2__c,Puppy_Child_Doll_P2,"Seemed slightly anxious or timid when trapped (ears back, body low, tail down or tucked) but stayed put as the doll loomed over. ",Did not try to get away-mildly fearful,3,1
PuppyChildDollP2Triedtogetaway,Puppy_Child_Doll_P2__c,Puppy_Child_Doll_P2,"Avoidant. Seems slightly anxious or timid (ears back, cautious movements, body low, tail down or tucked). ",Tried to get away-mildly fearful,4,1
PuppyChildDollP2Moderatelyfearful,Puppy_Child_Doll_P2__c,Puppy_Child_Doll_P2,"Body low/crouched and tense, tail down or tucked, ears back. May have panted, licked lips, yawned, and/or trembled. Might have given the doll a hard stare. May have stayed frozen or attempted to get away from the doll as it loomed over. ",Moderately fearful,5,2
PuppyChildDollP2Extremelyfearful,Puppy_Child_Doll_P2__c,Puppy_Child_Doll_P2,"May have panicked and attempted to hide or escape from the room. Might have been in a catatonic state: expressionless, motionless, unresponsive. No social behavior. ",Extremely fearful,6,3
